row.number,BD,PFL,throt,ED,EP,GS,GSh,MP,BS,Site1,species,group
1675,0.313,0.181,1.829268293,0.081,0.635782748,0.008125,2.08,0.616613419,0.469648562,GJKR,MELAUS,Peren_longer
1685,0.368,0.171,2.356589147,0.065,0.486413043,0.008093632,1.568627451,0.483695652,0.366847826,GJKR,MELAUS,Peren_longer
1695,0.417,0.183,1.97260274,0.073,0.522781775,0.006834375,1.5,0.529976019,0.335731415,GJKR,MELAUS,Peren_longer
1705,0.344,0.187,2.170542636,0.081,0.569767442,0.005555556,1.8,0.601744186,0.386627907,GJKR,MELAUS,Peren_longer
17110,0.361,0.178,2.424,0.073,0.520775623,0.006059172,1.6,0.529085873,0.351800554,GJKR,MELAUS,Peren_longer
1725,0.349,0.183,2.2890625,0.083,0.581661891,0.007100592,1.875,0.593123209,0.361031519,GJKR,MELAUS,Peren_longer
1735,0.337,0.185,2.087301587,0.087,0.554896142,0.00791761,1.606060606,0.587537092,0.394658754,GJKR,MELAUS,Peren_longer
1745,0.338,0.192,2.218045113,0.085,0.594674556,0.012720389,1.333333333,0.618343195,0.423076923,GJKR,MELAUS,Peren_longer
1755,0.331,0.177,2.496124031,0.086,0.613293051,0.008945224,1.368421053,0.667673716,0.392749245,GJKR,MELAUS,Peren_longer
1765,0.341,0.19,2.406015038,0.056,0.609970674,0.011627907,1.162790698,0.560117302,0.416422287,GJKR,MELAUS,Peren_longer
1775,0.343,0.173,2.576923077,0.091,0.56851312,0.007913083,1.210526316,0.61516035,0.370262391,GJKR,MELAUS,Peren_longer
1785,0.324,0.18,1.823076923,0.093,0.524691358,0.009975,1.105263158,0.592592593,0.410493827,GJKR,MELAUS,Peren_longer
1795,0.346,0.197,2.581395349,0.081,0.601156069,0.010833333,1.256410256,0.638728324,0.413294798,GJKR,MELAUS,Peren_longer
1805,0.314,0.18,2.007518797,0.089,0.538216561,0.007346939,1,0.563694268,0.414012739,GJKR,MELAUS,Peren_longer
18110,0.338,0.18,2.276119403,0.085,0.597633136,0.011243308,1.542857143,0.627218935,0.378698225,GJKR,MELAUS,Peren_longer
1825,0.328,0.194,2.6,0.082,0.478658537,0.010439815,1.242424242,0.460365854,0.417682927,GJKR,MELAUS,Peren_longer
1835,0.312,0.167,2.532786885,0.093,0.602564103,0.008059259,1.59375,0.653846154,0.419871795,GJKR,MELAUS,Peren_longer
1845,0.323,0.178,2.691056911,0.075,0.625386997,0.008637716,1.333333333,0.687306502,0.399380805,GJKR,MELAUS,Peren_longer
1855,0.32,0.193,3.053846154,0.085,0.55,0.009342538,1.689655172,0.59375,0.440625,GJKR,MELAUS,Peren_longer
1865,0.345,0.179,2.203007519,0.076,0.533333333,0.006724337,1.606060606,0.544927536,0.382608696,OODR,MELAUS,Peren_longer
1875,0.348,0.193,2.537878788,0.079,0.408045977,0.006247397,2.4,0.387931034,0.376436782,OODR,MELAUS,Peren_longer
1895,0.317,0.192,2.451612903,0.086,0.548895899,0.008274743,1.7,0.586750789,0.425867508,OODR,MELAUS,Peren_longer
1905,0.316,0.184,2.511811024,0.08,0.474683544,0.007950243,1.633333333,0.477848101,0.411392405,OODR,MELAUS,Peren_longer
19110,0.344,0.182,2.265625,0.072,0.444767442,0.008834027,2.037037037,0.526162791,0.421511628,OODR,MELAUS,Peren_longer
1925,0.366,0.175,2.671755725,0.084,0.491803279,0.007959184,1.925925926,0.483606557,0.363387978,OODR,MELAUS,Peren_longer
1935,0.29,0.192,2.5625,0.082,0.55862069,0.006857143,2.1,0.624137931,0.503448276,OODR,MELAUS,Peren_longer
1945,0.321,0.191,2.244094488,0.074,0.632398754,0.00928125,2.037037037,0.62305296,0.457943925,OODR,MELAUS,Peren_longer
1955,0.323,0.179,2.233870968,0.094,0.513931889,0.005622657,1.851851852,0.504643963,0.46130031,OODR,MELAUS,Peren_longer
1965,0.319,0.191,2.612903226,0.098,0.394984326,0.008328826,1.964285714,0.335423197,0.476489028,OODR,MELAUS,Peren_longer
1975,0.319,0.182,2.186440678,0.087,0.432601881,0.007,2.8,0.423197492,0.485893417,OODR,MELAUS,Peren_longer
1985,0.254,0.178,2.530434783,0.091,0.484251969,0.006653517,2.090909091,0.531496063,0.539370079,OODR,MELAUS,Peren_longer
1995,0.302,0.176,2.102564103,0.087,0.523178808,0.010125,2.222222222,0.470198675,0.48013245,OODR,MELAUS,Peren_longer
2004,0.275,0.178,2.132231405,0.09,0.461818182,0.005843682,2,0.454545455,0.574545455,OODR,MELAUS,Peren_longer
2019,0.28,0.185,1.474576271,0.101,0.682142857,0.007785467,1.44,0.746428571,0.514285714,OODR,MELAUS,Peren_longer
2043,0.292,0.156,1.992248062,0.111,0.455479452,0.0042,1.928571429,0.431506849,0.592465753,OODR,MELAUS,Peren_longer
2063,0.382,0.14,2.125,0.09,0.468586387,0.007974368,1.828571429,0.486910995,0.35078534,GCFR,MELAUS,Peren_flashier
2073,0.385,0.191,2.129770992,0.082,0.47012987,0.009246147,1.621621622,0.457142857,0.381818182,GCFR,MELAUS,Peren_flashier
2108,0.346,0.19,3.37704918,0.08,0.578034682,0.005936,1.892857143,0.575144509,0.445086705,GPHR,MELAUS,Peren_longer
2123,0.362,0.185,1.549180328,0.073,0.524861878,0.010478967,1.837837838,0.466850829,0.372928177,GPHR,MELAUS,Peren_longer
2133,0.362,0.195,2.007692308,0.082,0.513812155,0.00890625,1.583333333,0.511049724,0.397790055,GPHR,MELAUS,Peren_longer
2143,0.374,0.182,1.372881356,0.085,0.510695187,0.007974368,2.1875,0.545454545,0.403743316,GPHR,MELAUS,Peren_longer
2153,0.347,0.182,1.846774194,0.086,0.610951009,0.006912,1.6875,0.65129683,0.400576369,GPHR,MELAUS,Peren_longer
2173,0.318,0.181,2.778688525,0.088,0.635220126,0.015595463,1.090909091,0.682389937,0.440251572,GPHR,MELAUS,Peren_longer
2183,0.338,0.19,1.805084746,0.083,0.573964497,0.012268519,1.766666667,0.594674556,0.431952663,GPHR,MELAUS,Peren_longer
2193,0.343,0.206,2.080645161,0.099,0.536443149,0.009244444,1.444444444,0.559766764,0.443148688,GPHR,MELAUS,Peren_longer
2203,0.336,0.209,1.630252101,0.087,0.619047619,0.006543724,2.272727273,0.6875,0.43452381,GPHR,MELAUS,Peren_longer
2218,0.325,0.172,2.040983607,0.095,0.652307692,0.009357278,1.818181818,0.772307692,0.427692308,GPHR,MELAUS,Peren_longer
2223,0.31,0.193,2.625,0.091,0.696774194,0.00796875,2.04,0.764516129,0.483870968,GPHR,MELAUS,Peren_longer
2233,0.334,0.195,3.017094017,0.089,0.718562874,0.010707912,2,0.775449102,0.449101796,GPHR,MELAUS,Peren_longer
2253,0.313,0.166,2.291666667,0.08,0.517571885,0.0053125,1.36,0.559105431,0.488817891,GPHR,MELAUS,Peren_longer
2263,0.327,0.195,2.464912281,0.081,0.434250765,0.009338776,1.692307692,0.418960245,0.403669725,GPHR,MELAUS,Peren_longer
2273,0.322,0.192,1.653543307,0.1,0.540372671,0.008601108,2.347826087,0.540372671,0.47826087,GPHR,MELAUS,Peren_longer
2283,0.337,0.196,2.140625,0.085,0.554896142,0.0104625,1.741935484,0.584569733,0.430267062,GPHR,MELAUS,Peren_longer
2293,0.292,0.193,1.793103448,0.1,0.647260274,0.008324662,2,0.681506849,0.520547945,GPHR,MELAUS,Peren_longer
2303,0.328,0.197,2.106557377,0.091,0.618902439,0.0076375,1.807692308,0.652439024,0.475609756,GPHR,MELAUS,Peren_longer
2318,0.269,0.157,2.205357143,0.077,0.550185874,0.010743802,1.3,0.643122677,0.565055762,GPHR,MELAUS,Peren_longer
2323,0.282,0.157,2.085714286,0.073,0.620567376,0.007183673,2.2,0.659574468,0.478723404,GPHR,MELAUS,Peren_longer
2343,0.387,0.187,2.125874126,0.078,0.560723514,0.009383111,1.568965517,0.552971576,0.335917313,GCFR,MELAUS,Peren_flashier
2353,0.362,0.183,2.271317829,0.078,0.563535912,0.008484848,1.909090909,0.58839779,0.383977901,GCFR,MELAUS,Peren_flashier
2363,0.393,0.173,2.25,0.077,0.473282443,0.007071429,1.711111111,0.440203562,0.353689567,GCFR,MELAUS,Peren_flashier
2373,0.376,0.168,2.272727273,0.084,0.590425532,0.009297052,1.822222222,0.622340426,0.35106383,GCFR,MELAUS,Peren_flashier
2383,0.349,0.168,2.198412698,0.084,0.624641834,0.007913889,2.081081081,0.656160458,0.398280802,GCFR,MELAUS,Peren_flashier
2393,0.361,0.18,2.076923077,0.084,0.59833795,0.00846281,1.6,0.650969529,0.387811634,GCFR,MELAUS,Peren_flashier
2403,0.357,0.179,2.346153846,0.076,0.582633053,0.0112,1.75,0.607843137,0.386554622,GCFR,MELAUS,Peren_flashier
2418,0.342,0.161,2.347457627,0.081,0.649122807,0.009234948,2.266666667,0.66374269,0.447368421,GCFR,MELAUS,Peren_flashier
2433,0.351,0.174,2.25,0.098,0.561253561,0.009085992,1.866666667,0.552706553,0.401709402,GCFR,MELAUS,Peren_flashier
2443,0.367,0.198,2.169491525,0.107,0.490463215,0.010708491,2.2,0.438692098,0.411444142,GCFR,MELAUS,Peren_flashier
